id;nom;insee;pop_2010;densite_2010;surface;coord1_degree;coord2_degree;coord1_grd;coord2_grd;coord1_dms;coord2_dms
6501;SAINT-HILAIRE-DE-GONDILLY;18215;183;9;18.42;2.86667;47.05;611;52277;25310;470258
6502;REZAY;18193;225;10;21.26;2.18333;46.6833;-176;51859;21043;464022
6503;SAVIGNY-EN-SANCERRE;18246;1082;32;33.31;2.81667;47.4333;525;52712;24833;472628
6504;SAINT-HILAIRE-EN-LIGNIERES;18216;498;9;53.78;2.16667;46.7333;-181;51918;21025;464334
6505;MAREUIL-SUR-ARNON;18137;563;21;25.89;2.16667;46.8833;-197;52090;20933;465252
6506;OSMERY;18173;280;13;21.27;2.65;46.9333;354;52150;23918;465605
6507;CUFFY;18082;1123;32;34.57;3.05;46.95;796;52179;30309;465739
6508;VIGNOUX-SUR-BARANGEON;18281;2107;84;24.87;2.18333;47.2167;-183;52446;21018;471206
6509;SAINT-PRIEST-LA-MARCHE;18232;235;11;20.33;2.16667;46.45;-178;51610;21035;462656
6510;IGNOL;18113;172;9;17.67;2.85;46.9667;566;52185;25047;465760
6511;LURY-SUR-ARNON;18134;676;48;13.84;2.05;47.1167;-311;52364;20325;470739
6512;AZY;18019;484;17;27.62;2.71667;47.1833;413;52426;24228;471059
6513;LES AIX-D'ANGILLON;18003;1945;132;14.68;2.56667;47.2;261;52443;23419;471154
6514;SAVIGNY-EN-SEPTAINE;18247;659;29;22.58;2.55;47.0333;249;52271;23338;470239
6515;RAYMOND;18191;221;23;9.24;2.68333;46.9667;388;52190;24110;465816
6516;GARIGNY;18099;213;10;19.66;2.9;47.0833;612;52319;25316;470513
6517;LA CELLE-CONDE;18043;198;6;30.94;2.18333;46.8;-169;51993;21104;464738
6518;APREMONT-SUR-ALLIER;18007;73;2;30.69;3.04778;46.9059;790;52118;30252;465421
6519;SAINT-SATURNIN;18234;422;10;39.04;2.23333;46.5;-110;51675;21416;463027
6520;LA CHAPELLE-D'ANGILLON;18047;665;65;10.17;2.43333;47.3667;107;52626;22559;472148
6521;SALIGNY-LE-VIF;18239;171;11;15.29;2.76667;47.05;477;52273;24559;470244
6522;MONTLOUIS;18152;114;6;18.98;2.23333;46.8167;-107;52016;21425;464851
6523;VERNEUIL;18277;40;3;11.04;2.6;46.8167;298;52019;23616;464901
6524;TORTERON;18265;804;59;13.53;2.96667;47.0167;699;52247;25757;470121
6525;SOYE-EN-SEPTAINE;18254;572;30;18.57;2.5;47.0333;170;52252;22921;470136
6526;NANCAY;18159;882;8;106.33;2.2;47.35;-158;52611;21140;472100
6527;SAINT-DENIS-DE-PALIN;18204;336;11;30.51;2.53333;46.9333;225;52155;23219;465623
6528;CONTRES;18071;35;2;16.03;2.5;46.8667;170;52076;22921;465205
6529;COURS-LES-BARRES;18075;1082;51;21.16;3.03333;47.0167;772;52250;30153;470129
6530;IDS-SAINT-ROCH;18112;312;11;27.83;2.25;46.7167;-106;51897;21427;464226
6531;THAUVENAY;18262;346;35;9.86;2.86667;47.3167;590;52561;25205;471818
6532;HENRICHEMONT;18109;1802;71;25.27;2.53333;47.3;209;52559;23128;471811
6533;CHATEAUMEILLANT;18057;2015;47;42.48;2.2;46.5667;-151;51736;21202;463343
6534;MARCAIS;18136;316;10;29.03;2.36667;46.7;38;51886;22214;464149
6535;OIZON;18170;712;11;62.03;2.51667;47.4667;199;52749;23055;472827
6536;THENIOUX;18263;663;36;18.33;1.93333;47.25;-450;52507;15553;471523
6537;PRESLY;18185;253;3;74.63;2.35;47.3833;24;52653;22129;472317
6538;NOHANT-EN-GOUT;18166;561;22;24.79;2.56667;47.1;260;52333;23413;470557
6539;LE NOYER;18168;260;13;19.98;2.68084;47.3842;383;52649;24051;472303
6540;CHAROST;18055;1035;94;10.97;2.13333;46.9833;-245;52214;20658;465934
6541;FEUX;18094;348;12;27.46;2.86667;47.2333;579;52478;25128;471349
6542;AUBINGES;18016;359;32;10.97;2.58333;47.2167;273;52469;23456;471321
6543;CROSSES;18081;329;12;26.49;2.58333;47.0167;272;52234;23454;470039
6544;LE SUBDRAY;18255;943;46;20.28;2.3;47.0167;-47;52234;21740;470039
6545;SAINT-AMBROIX;18198;411;13;31.22;2.11667;46.9333;-240;52146;20713;465554
6546;CERBOIS;18044;445;24;18.45;2.1;47.1167;-270;52348;20536;470647
6547;EPINEUIL-LE-FLEURIEL;18089;463;11;41.6;2.58333;46.55;274;51732;23501;463332
6548;OSMOY;18174;297;13;22.63;2.51667;47.0667;207;52304;23122;470424
6549;JUSSY-LE-CHAUDRIER;18120;634;24;25.73;2.93333;47.1167;664;52364;25603;470739
6550;FUSSY;18097;1965;177;11.08;2.43333;47.15;103;52383;22544;470841
6551;SAINT-GERMAIN-DU-PUY;18213;4830;223;21.63;2.48333;47.1;161;52333;22852;470557
6552;ALLOUIS;18005;948;26;35.59;2.23333;47.1667;-122;52407;21337;470957
6553;MENETOU-RATEL;18144;481;17;28.01;2.75;47.35;466;52612;24521;472104
6554;SAINT-OUTRILLE;18228;215;17;12.48;1.8409;47.1439;-551;52382;15026;470838
6555;JOUET-SUR-L'AUBOIS;18118;1495;86;17.33;3;47.05;724;52273;25918;470243
6556;MERY-SUR-CHER;18150;700;33;20.91;1.98333;47.2333;-387;52496;15918;471446
6557;LAPAN;18122;168;16;10.5;2.3;46.9167;-41;52137;21759;465524
6558;PIGNY;18179;797;98;8.08;2.43333;47.1833;123;52411;22650;471011
6559;VENESMES;18273;884;27;31.76;2.31667;46.8333;-26;52044;21848;465021
6560;MARMAGNE;18138;2041;54;37.66;2.28333;47.1;-59;52335;21701;470605
6561;BRINAY;18036;521;17;29.48;2.13333;47.15;-232;52419;20740;471039
6562;ANNOIX;18006;231;19;11.79;2.55;46.95;220;52178;23203;465737
6563;BRINON-SUR-SAULDRE;18037;1033;8;116.3;2.25;47.5667;-91;52850;21518;473353
6564;CHATEAUNEUF-SUR-CHER;18058;1500;68;21.97;2.31667;46.85;-22;52064;21859;465127
6565;LERE;18125;1189;74;15.98;2.86667;47.4667;596;52744;25223;472812
6566;MAISONNAIS;18135;231;8;26.95;2.2;46.6333;-134;51822;21256;463824
6567;MORTHOMIERS;18157;731;50;14.54;2.26667;47.0333;-67;52263;21636;470213
6568;LA CHAPELLE-HUGON;18048;387;23;16.16;2.95;46.9;680;52119;25654;465425
6569;SAINT-LEGER-LE-PETIT;18220;399;39;10.05;3;47.1167;742;52358;30015;470721
6570;SANTRANGES;18243;426;17;24.31;2.76667;47.5;484;52776;24619;472955
6571;NERONDES;18160;1560;45;34;2.83333;47;537;52220;24910;465951
6572;THOU;18264;78;8;9.19;2.66084;47.4253;360;52695;23939;472531
6573;TENDRON;18260;114;10;10.44;2.85;46.9667;526;52203;24836;465857
6574;SAINT-SATUR;18233;1603;203;7.86;2.85;47.3333;574;52601;25112;472028
6575;LOYE-SUR-ARNON;18130;303;8;34.15;2.38333;46.65;55;51836;22311;463910
6576;LE CHATELET;18059;1124;34;32.8;2.28333;46.6333;-59;51824;21659;463830
6577;CLEMONT;18067;708;14;50.11;2.3;47.5667;-33;52854;21826;473405
6578;JUSSY-CHAMPAGNE;18119;225;8;27.3;2.65;46.9833;342;52206;23838;465908
6579;BOULLERET;18032;1355;41;32.71;2.86667;47.4167;595;52694;25221;472527
6580;SAINT-CHRISTOPHE-LE-CHAUDRY;18203;98;5;17.52;2.36667;46.5833;36;51757;22208;463454
6581;MORNAY-SUR-ALLIER;18155;439;20;21.62;3.03333;46.8167;769;52021;30144;464908
6582;AVORD;18018;2675;95;27.98;2.65;47.0333;352;52259;23912;470159
6583;SEVRY;18251;73;8;9.04;2.81667;47.1333;519;52369;24814;470755
6584;SAINT-GEORGES-SUR-MOULON;18211;747;79;9.43;2.43333;47.1833;96;52434;22521;471125
6585;BRECY;18035;844;21;39.63;2.61667;47.1167;314;52360;23710;470727
6586;PREVERANGES;18187;583;15;38.16;2.25;46.4333;-91;51592;21517;462557
6587;NOHANT-EN-GRACAY;18167;313;13;23.78;1.88333;47.1333;-492;52374;15338;470812
6588;SAINT-BAUDEL;18199;299;9;30.09;2.21667;46.8333;-144;52043;21225;465018
6589;SAINT-FLORENT-SUR-CHER;18207;6608;294;22.41;2.25;46.9833;-94;52217;21506;465944
6590;ARPHEUILLES;18013;340;7;48.01;2.56667;46.7833;249;51981;23338;464657
6591;PLOU;18181;484;14;33.21;2.13333;47.0333;-202;52238;20917;470052
6592;OUROUER-LES-BOURDELINS;18175;645;26;24.64;2.81667;46.9167;497;52145;24703;465550
6593;DUN-SUR-AURON;18087;4440;88;50.09;2.56667;46.8833;261;52094;23418;465305
6594;SAINT-GEORGES-DE-POISIEUX;18209;419;26;15.61;2.48333;46.6833;158;51874;22843;464112
6595;BANNEGON;18021;261;12;21.08;2.71667;46.8;419;52001;24250;464804
6596;VESDUN;18278;620;12;48.61;2.43333;46.5333;103;51710;22546;463220
6597;SAINT-AIGNAN-DES-NOYERS;18196;100;9;10.95;2.81667;46.7667;533;51962;24858;464556
6598;LANTAN;18121;106;7;13.36;2.66667;46.9;362;52119;23944;465424
6599;THAUMIERS;18261;418;15;27.33;2.65;46.8167;354;52024;23918;464917
6600;VALLENAY;18270;705;27;25.66;2.38333;46.7833;38;52002;22216;464805
6601;MENETREOL-SUR-SAULDRE;18147;250;4;50.08;2.31667;47.45;-32;52720;21829;472653
6602;SAINT-VITTE;18238;137;8;16.38;2.53333;46.5333;220;51719;23203;463249
6603;COUARGUES;18074;197;16;11.62;2.91667;47.3;658;52530;25544;471638
6604;HERRY;18110;1029;20;49.87;2.95;47.2167;686;52463;25714;471300
6605;NEUVY-SUR-BARANGEON;18165;1251;18;67.34;2.25;47.3167;-92;52573;21514;471856
6606;MASSAY;18140;1404;29;47.94;2;47.15;-382;52393;15934;470914
6607;LAVERDINES;18123;54;5;9.89;2.78333;47.0333;513;52256;24753;470150
6608;PARASSY;18176;416;15;26.02;2.55;47.2333;234;52481;23251;471359
6609;VEREAUX;18275;176;7;22.96;2.88333;46.8833;603;52089;25245;465247
6610;SANCERRE;18241;1607;98;16.27;2.83333;47.3333;558;52590;25020;471952
6611;SUBLIGNY;18256;348;20;17.26;2.75;47.4;465;52671;24517;472413
6612;LUGNY-CHAMPAGNE;18132;170;5;29.54;2.81667;47.2;539;52429;24918;471110
6613;MENETREOL-SOUS-SANCERRE;18146;396;69;5.67;2.86667;47.3167;577;52575;25122;471904
6614;BUSSY;18040;365;13;26.69;2.63333;46.9;316;52115;23716;465412
6615;VINON;18287;265;14;18.01;2.83333;47.2833;544;52539;24934;471707
6616;BEDDES;18024;96;7;12.92;2.2;46.6;-137;51784;21247;463621
6617;VASSELAY;18271;1177;58;20.21;2.4;47.1667;58;52398;22318;470928
6618;SAUGY;18244;79;8;9.63;2.13333;46.9667;-244;52189;20701;465813
6619;SAINTE-LUNAISE;18222;24;1;13.95;2.35;46.9333;13;52134;22054;465514
6620;ORCENAIS;18171;267;14;18.93;2.43333;46.7167;99;51909;22532;464306
6621;CHALIVOY-MILON;18045;463;23;19.61;2.7;46.8667;410;52066;24220;465134
6622;BOURGES;18033;66381;965;68.74;2.4;47.0833;66;52315;22344;470501
6623;AUBIGNY-SUR-NERE;18015;5769;93;61.53;2.43333;47.4833;114;52765;22621;472919
6624;QUANTILLY;18189;432;34;12.69;2.45;47.2333;120;52472;22641;471327
6625;JARS;18117;481;12;37.34;2.68333;47.4;385;52662;24058;472345
6626;VILLENEUVE-SUR-CHER;18285;435;16;26.13;2.21667;47.0333;-126;52254;21323;470144
6627;CREZANCY-EN-SANCERRE;18079;478;25;18.92;2.74389;47.3053;453;52561;24438;471819
6628;VILLABON;18282;559;30;18.28;2.68333;47.1;376;52330;24029;470548
6629;ACHERES;18001;371;29;12.75;2.46667;47.2833;125;52532;22655;471642
6630;VERNAIS;18276;216;8;25.84;2.71667;46.7667;419;51962;24250;464557
6631;LAZENAY;18124;357;11;30.74;2.05833;47.075;-307;52301;20338;470416
6632;NEUVY-LE-BARROIS;18164;159;3;41.98;3.05;46.8667;779;52072;30214;465153
6633;SAINT-JUST;18218;598;39;15.12;2.51667;46.9833;191;52215;23032;465935
6634;MORNAY-BERRY;18154;210;22;9.15;2.88333;47.05;594;52276;25216;470256
6635;LA PERCHE;18178;257;24;10.45;2.56667;46.65;264;51828;23425;463841
6636;PRIMELLES;18188;251;9;26.57;2.21667;46.9;-137;52143;21247;465542
6637;SAINTE-SOLANGE;18235;1180;37;31.85;2.55;47.1333;237;52374;23260;470811
6638;CIVRAY;18066;995;24;40.87;2.16667;46.9667;-180;52186;21028;465802
6639;MEILLANT;18142;713;17;40.6;2.5;46.7833;187;51979;23018;464651
6640;CORNUSSE;18072;276;14;19.61;2.73333;46.95;438;52172;24351;465716
6641;LA CELLE;18042;354;27;12.8;2.45;46.7667;122;51965;22647;464607
6642;VILLECELIN;18283;112;11;9.39;2.18333;46.8333;-172;52029;21054;464934
6643;TOUCHAY;18266;282;12;23.41;2.21667;46.7167;-139;51903;21242;464244
6644;BOUZAIS;18034;291;86;3.35;2.48333;46.7;153;51895;22829;464218
6645;DAMPIERRE-EN-CROT;18084;215;9;22.05;2.58333;47.4667;274;52734;23458;472738
6646;SAINT-SYMPHORIEN;18236;132;13;9.54;2.31667;46.8167;-29;52014;21838;464844
6647;SAINT-LAURENT;18219;436;11;38.72;2.20195;47.225;-150;52472;21207;471330
6648;BRUERE-ALLICHAMPS;18038;629;45;13.9;2.45;46.7667;107;51965;22557;464606
6649;SANCERGUES;18240;703;45;15.53;2.91667;47.15;644;52395;25460;470919
6650;SURY-ES-BOIS;18259;279;8;31.9;2.7;47.4667;409;52739;24216;472753
6651;GROISES;18104;143;8;17.63;2.8;47.2;526;52455;24835;471233
6652;ARGENT-SUR-SAULDRE;18011;2209;32;67.35;2.45;47.55;118;52841;22635;473324
6653;BEFFES;18025;697;58;11.83;3.01667;47.1;746;52325;30028;470534
6654;CREZANCAY-SUR-CHER;18078;65;8;7.65;2.36667;46.8167;23;52014;22127;464846
6655;CHARENTON-DU-CHER;18052;1110;23;47.89;2.65;46.7333;340;51922;23832;464347
6656;TURENNE;19273;793;28;28.03;1.58333;45.05;-838;50060;13457;450315
6657;BORT-LES-ORGUES;19028;2988;198;15.07;2.5;45.4;177;50444;22945;452359
6658;BEYSSAC;19024;697;32;21.32;1.4;45.3667;-1036;50413;12414;452217
6659;SAINT-PANTALEON-DE-LAPLEAU;19228;70;8;8.46;2.2;45.3167;-146;50359;21217;451923
6660;CHASTEAUX;19049;580;30;18.75;1.46667;45.1;-965;50103;12804;450534
6661;CHANTEIX;19042;580;29;19.47;1.63333;45.3;-777;50344;13815;451835
6662;NEUVIC;19148;1810;24;72.88;2.28333;45.3833;-73;50424;21616;452252
6663;SAINT-BONNET-ELVERT;19186;203;11;18.37;1.91667;45.1667;-481;50180;15413;450943
6664;VIGNOLS;19286;589;38;15.41;1.4;45.3167;-1052;50356;12322;451913
6665;LAMONGERIE;19104;108;8;12.15;1.56667;45.5333;-846;50596;13432;453212
6666;CHABRIGNAC;19035;559;50;11.04;1.33333;45.3167;-1107;50351;12026;451859
6667;MOUSTIER-VENTADOUR;19145;490;16;29.85;2.11667;45.4;-258;50439;20617;452344
6668;GROS-CHASTANG;19089;171;12;13.37;1.98333;45.2167;-370;50239;20014;451255
6669;SAINT-CERNIN-DE-LARCHE;19191;597;65;9.15;1.41667;45.1;-1024;50114;12454;450611
6670;DAVIGNAC;19071;243;8;30.14;2.1;45.4833;-270;50539;20537;452906
6671;SAILLAC;19179;184;43;4.25;1.63333;45.0333;-773;50042;13826;450215
6672;AFFIEUX;19001;371;12;30.19;1.75;45.5167;-633;50575;14601;453103
6673;SAINT-SULPICE-LES-BOIS;19244;72;3;22.92;2.15;45.6167;-212;50684;20844;453655
6674;SAINT-BONNET-AVALOUZE;19185;202;39;5.14;1.83195;45.2562;-561;50285;14955;451522
6675;VEYRIERES;19283;65;15;4.1;2.39306;45.4903;63;50545;22335;452925
6676;ROCHE-LE-PEYROUX;19175;87;12;7.15;2.36667;45.4333;49;50469;22252;452521
6677;LAGRAULIERE;19100;1111;36;30.75;1.63333;45.35;-775;50392;13820;452110
6678;CHAPELLE-SPINASSE;19046;115;19;5.89;2.04195;45.3587;-327;50398;20231;452131
6679;PERPEZAC-LE-BLANC;19161;467;24;19.42;1.33333;45.2167;-1116;50247;11955;451320
6680;SAINTE-FEREOLE;19202;1816;51;35.58;1.58333;45.2333;-838;50255;13457;451346
6681;SAINT-CYPRIEN;19195;381;48;7.86;1.35;45.25;-1094;50279;12108;451503
6682;FAVARS;19082;973;81;11.88;1.66667;45.2667;-732;50293;14040;451548
6683;PALAZINGES;19156;111;21;5.25;1.7;45.15;-713;50177;14142;450933
6684;SERANDON;19256;357;10;34.48;2.35;45.3667;1;50401;22013;452138
6685;DARNETS;19070;346;13;25.42;2.11111;45.4262;-250;50474;20640;452534
6686;SAINT-PARDOUX-L'ORTIGIER;19234;476;36;12.98;1.56667;45.3;-842;50331;13444;451754
6687;LAGLEYGEOLLE;19099;224;11;19.54;1.7;45.0833;-712;50087;14144;450440
6688;SAINT-AULAIRE;19182;856;79;10.79;1.36667;45.2333;-1057;50264;12307;451416
6689;SAINT-JULIEN-LE-PELERIN;19215;135;8;15.4;2.1;45.0167;-288;50020;20438;450103
6690;COLLONGES-LA-ROUGE;19057;470;32;14.31;1.655;45.0609;-757;50068;13918;450339
6691;NAVES;19146;2319;64;35.93;1.76667;45.3167;-634;50348;14557;451847
6692;ESPAGNAC;19075;334;14;23.63;1.9;45.2333;-489;50256;15348;451348
6693;MONCEAUX-SUR-DORDOGNE;19140;673;18;36.93;1.91667;45.0833;-476;50091;15428;450454
6694;VARETZ;19278;2239;109;20.38;1.45;45.2;-984;50216;12702;451138
6695;SAINT-BONNET-PRES-BORT;19190;188;10;17.14;2.41667;45.5;89;50560;22459;453013
6696;QUEYSSAC-LES-VIGNES;19170;207;18;11.13;1.76667;44.9667;-632;49962;14603;445758
6697;TOY-VIAM;19268;32;3;9.93;1.93333;45.65;-449;50720;15556;453854
6698;LE CHASTANG;19048;353;44;7.87;1.73333;45.1833;-669;50192;14404;451022
6699;MESTES;19135;355;31;11.45;2.31667;45.5;-29;50547;21839;452933
6700;DAMPNIAT;19068;685;44;15.38;1.63333;45.1667;-783;50187;13755;451005
6701;VALIERGUES;19277;143;10;13.13;2.3;45.4833;-49;50532;21733;452843
6702;SAINT-HILAIRE-LUC;19210;76;7;10.84;2.2;45.3667;-147;50403;21215;452145
6703;YSSANDON;19289;684;33;20.17;1.36667;45.2;-1067;50232;12235;451230
6704;SAINT-PAUL;19235;217;15;14.1;1.9;45.2167;-490;50243;15343;451309
6705;SAINT-PRIVAT;19237;1118;34;32.85;2.1;45.1333;-264;50154;20556;450818
6706;VITRAC-SUR-MONTANE;19287;258;9;27.24;1.95;45.3833;-445;50418;15610;452236
6707;NOAILHAC;19150;359;26;13.51;1.6;45.0833;-798;50081;13705;450423
6708;CAMPS-SAINT-MATHURIN-LEOBAZEL;19034;245;7;34.08;1.98972;44.9828;-385;49981;15923;445858
6709;SAINT-PARDOUX-LE-NEUF;19232;70;6;10.54;2.32861;45.6139;-9;50682;21943;453650
6710;TULLE;19272;14923;610;24.44;1.76667;45.2667;-627;50295;14620;451557
6711;SOURSAC;19264;490;11;42.8;2.2;45.2833;-150;50306;21204;451631
6712;LE LONZAC;19118;778;21;35.97;1.71667;45.4667;-675;50515;14343;452750
6713;CLERGOUX;19056;378;23;16.11;1.98333;45.2833;-405;50310;15821;451643
6714;CHARTRIER-FERRIERE;19047;340;22;15.16;1.43333;45.0667;-983;50079;12707;450415
6715;PERET-BEL-AIR;19159;107;6;15.49;2.05;45.4833;-329;50531;20226;452839
6716;SIONIAC;19260;246;23;10.6;1.81667;44.9833;-582;49972;14845;445828
6717;LAFAGE-SUR-SOMBRE;19097;117;6;18.94;2.08333;45.3;-294;50329;20418;451744
6718;SAINT-MEXANT;19227;1163;62;18.64;1.65;45.2833;-754;50317;13929;451707
6719;OBJAT;19153;3593;375;9.57;1.41667;45.2667;-1031;50292;12430;451547
6720;MILLEVACHES;19139;87;7;11.54;2.1;45.65;-268;50713;20543;453829
6721;DARAZAC;19069;157;10;14.55;2.1;45.1833;-280;50195;20504;451031
6722;ARNAC-POMPADOUR;19011;1227;81;15.09;1.36667;45.4167;-1062;50440;12252;452347
6723;ALLEYRAT;19006;104;7;14.76;2.21472;45.577;-135;50641;21253;453437
6724;LASCAUX;19109;175;24;7.26;1.36667;45.3333;-1080;50377;12153;452021
6725;SAINT-SORNIN-LAVOLPS;19243;928;60;15.36;1.36667;45.3833;-1060;50420;12258;452241
6726;THALAMY;19266;109;9;11.84;2.46667;45.5167;137;50570;22734;453048
6727;LES ANGLES-SUR-CORREZE;19009;103;21;4.73;1.8;45.3;-600;50341;14748;451826
6728;SAINT-ANGEL;19180;687;14;47.54;2.23333;45.5;-117;50559;21354;453013
6729;SAINTE-FORTUNADE;19203;1775;46;38.31;1.76667;45.2;-628;50230;14616;451225
6730;LOSTANGES;19119;129;13;9.47;1.76667;45.0667;-637;50069;14549;450344
6731;LA ROCHE-CANILLAC;19174;157;51;3.02;1.96667;45.2;-409;50217;15807;451143
6732;SAINT-GERMAIN-LES-VERGNES;19207;1008;52;19.15;1.63333;45.2667;-779;50304;13806;451625
6733;HAUTEFAGE;19091;312;12;24.06;2.01667;45.0833;-373;50092;20004;450457
6734;UZERCHE;19276;3126;131;23.85;1.56667;45.4167;-859;50472;13348;452529
6735;REYGADE;19171;200;14;13.94;1.91667;45.0167;-475;50017;15433;450054
6736;ARGENTAT;19010;3042;135;22.41;1.93333;45.1;-443;50104;15616;450536
6737;LESTARDS;19112;109;5;18.52;1.86667;45.5167;-514;50573;15225;453056
6738;LA CHAPELLE-SAINT-GERAUD;19045;232;13;17.59;1.96667;45.0333;-425;50044;15714;450222
6739;SOUDEILLES;19263;287;14;20.39;2.08333;45.45;-287;50495;20442;452644
6740;NESPOULS;19147;623;30;20.14;1.5;45.05;-927;50055;13009;450260
6741;CUREMONTE;19067;214;24;8.83;1.75;45;-660;50001;14432;450003
6742;SAINT-JULIEN-MAUMONT;19217;172;27;6.21;1.78333;45.0333;-701;50042;14221;450217
6743;MENOIRE;19132;90;13;6.43;1.8;45.1;-604;50112;14736;450602
6744;JUGEALS-NAZARETH;19093;853;77;10.95;1.55;45.0833;-863;50090;13334;450453
6745;TROCHE;19270;540;27;19.79;1.43333;45.3833;-995;50431;12629;452316
6746;CHAVEROCHE;19053;209;11;18.26;2.25;45.5833;-88;50638;21526;453427
6747;LE PESCHER;19163;276;24;11.18;1.73333;45.0833;-665;50078;14416;450411
6748;SAINT-SALVADOUR;19240;299;15;19.47;1.76667;45.3833;-633;50439;14559;452341
6749;ASTAILLAC;19012;221;30;7.35;1.83333;44.95;-561;49946;14953;445705
6750;EYBURIE;19079;465;15;29.14;1.63333;45.45;-779;50511;13808;452735
6751;EGLETONS;19073;4481;265;16.85;2.05;45.4;-324;50452;20243;452423
6752;CONFOLENT-PORT-DIEU;19167;28;3;8.47;2.51667;45.55;178;50604;22947;453236
6753;MASSERET;19129;679;50;13.55;1.51667;45.5333;-907;50606;13114;453244
6754;ORGNAC-SUR-VEZERE;19154;302;16;18.76;1.43333;45.3333;-994;50369;12631;451955
6755;SOUDAINE-LAVINADIERE;19262;178;8;21.86;1.73333;45.55;-663;50619;14424;453325
6756;LA CHAPELLE-AUX-SAINTS;19044;226;47;4.72;1.71667;44.9833;-679;49986;14331;445914
6757;PEYRISSAC;19165;137;23;5.89;1.68333;45.5;-708;50558;14157;453008
6758;SAINT-CLEMENT;19194;1275;48;26.56;1.68333;45.3333;-724;50379;14106;452029
6759;SERILHAC;19257;281;22;12.53;1.73333;45.1;-679;50099;14332;450519
6760;SADROC;19178;801;41;19.26;1.55;45.2833;-875;50314;13257;451659
6761;PUY-D'ARNAC;19169;271;22;12.27;1.8;45.0333;-612;50031;14709;450139
6762;AIX;19002;385;8;48.02;2.38333;45.6167;51;50685;22257;453658
6763;CORREZE;19062;1161;33;34.16;1.88333;45.3667;-513;50414;15230;452221
6764;SEGONZAC;19253;233;11;20.21;1.26667;45.2667;-1178;50307;11636;451633
6765;CHAMBOULIVE;19037;1184;25;46.8;1.7;45.4333;-702;50480;14216;452556
6766;AYEN;19015;720;54;13.16;1.31667;45.25;-1121;50275;11938;451449
6767;SAINT-PARDOUX-LA-CROISILLE;19231;172;10;16.36;1.98333;45.25;-394;50273;15856;451445
6768;USSAC;19274;3859;156;24.63;1.61667;45.1167;-919;50214;13033;451133
6769;CONCEZE;19059;413;30;13.44;1.35;45.35;-1102;50394;12042;452117
6770;MONESTIER-MERLINES;19141;314;33;9.48;2.48333;45.65;180;50733;22955;453935
6771;GIMEL-LES-CASCADES;19085;720;34;20.86;1.85056;45.2995;-540;50333;15102;451758
6772;SAINT-GERMAIN-LAVOLPS;19206;91;4;21.89;2.21667;45.6167;-145;50682;21221;453648
6773;SAINT-HILAIRE-PEYROUX;19211;903;47;18.89;1.65;45.2167;-764;50238;13855;451250
6774;SARRAN;19251;255;9;26.09;1.95;45.4167;-443;50456;15617;452437
6775;RILHAC-XAINTRIE;19173;332;13;25.31;2.2;45.1667;-155;50186;21150;451001
6776;LOUIGNAC;19120;222;10;21.91;1.26667;45.2167;-1173;50253;11650;451339
6777;CORNIL;19061;1415;71;19.66;1.68333;45.2167;-716;50234;14130;451238
6778;SAINT-MARTIN-LA-MEANNE;19222;363;13;27.7;1.98333;45.1667;-388;50189;15913;451011
6779;VENARSAL;19282;486;154;3.14;1.61667;45.2;-793;50217;13721;451144
6780;SAINT-YBARD;19248;664;22;30.05;1.53333;45.45;-906;50498;13118;452653
6781;LAGARDE-ENVAL;19098;760;35;21.55;1.81667;45.1833;-588;50208;14827;451113
6782;CONDAT-SUR-GANAVEIX;19060;643;17;37.52;1.6;45.4667;-825;50519;13538;452802
6783;BELLECHASSAGNE;19021;74;5;13.34;2.23333;45.65;-123;50717;21332;453841
6784;VEIX;19281;71;3;22.14;1.83333;45.5167;-556;50565;15009;453032
6785;SEXCLES;19259;227;8;25.91;2.01667;45.05;-365;50052;20029;450249
6786;MEILHARDS;19131;515;11;44.99;1.65;45.55;-764;50622;13856;453334
6787;CHAUFFOUR-SUR-VELL;19050;402;55;7.19;1.66667;45.0167;-746;50021;13954;450108
6788;CHANAC-LES-MINES;19041;494;37;13.26;1.81667;45.2667;-574;50294;14911;451552
6789;COURTEIX;19065;63;6;10.09;2.35;45.65;6;50721;22030;453854
6790;JUILLAC;19094;1153;34;33.14;1.31667;45.3167;-1127;50353;11921;451905
6791;PEROLS-SUR-VEZERE;19160;188;4;46.98;1.98333;45.5833;-396;50651;15847;453510
6792;SAINT-FREJOUX;19204;289;11;24.93;2.38333;45.5333;40;50607;22222;453246
6793;MERLINES;19134;803;57;14.07;2.46084;45.6473;138;50719;22739;453850
6794;SAINT-ELOY-LES-TUILERIES;19198;120;13;9.13;1.28333;45.45;-1160;50497;11733;452649
6795;SAINT-CHAMANT;19192;504;35;14.05;1.9;45.1333;-490;50140;15344;450734
6796;LIGINIAC;19113;641;22;28.53;2.33334;45.4153;-4;50462;21960;452455
6797;LACELLE;19095;135;6;20.58;1.81667;45.65;-568;50712;14933;453828
6798;BEAUMONT;19020;111;10;10.9;1.8025;45.4223;-593;50469;14809;452520
6799;AURIAC;19014;228;6;34.89;2.16667;45.2;-210;50227;20853;451214
6800;SAINT-CIRGUES-LA-LOUTRE;19193;190;10;18.41;2.11667;45.0833;-264;50087;20555;450443
6801;SAINT-REMY;19238;231;7;30.96;2.28333;45.65;-72;50729;21618;453921
6802;BEYSSENAC;19025;369;20;18.3;1.26667;45.4;-1167;50449;11710;452415
