id;nom;insee;pop_2010;densite_2010;surface;long_deg;lat_deg
95;MURS-ET-GELIGNIEUX;1268;241;37;6.46;5.66667;45.6333
96;LE PETIT-ABERGEMENT;1292;138;5;26.95;5.65;46.0333
97;CORMOZ;1124;625;31;19.56;5.23333;46.45
98;SAINT-MARTIN-DE-BAVEL;1372;443;52;8.5;5.68333;45.85
99;SAINT-TRIVIER-DE-COURTES;1388;1013;61;16.53;5.08333;46.4667
100;BOYEUX-SAINT-JEROME;1056;321;18;16.94;5.46667;46.0333
101;CHATEAU-GAILLARD;1089;1818;113;16.06;5.3;45.9667
102;PREMEYZEL;1310;234;30;7.63;5.65;45.6833
103;ARANDAS;1013;163;11;14.1;5.48333;45.9
104;CHATENAY;1090;352;23;14.95;5.2;46.0333
105;INNIMOND;1190;114;8;13.44;5.56667;45.7833
106;BOZ;1057;496;67;7.31;4.9;46.4
107;BRIORD;1064;893;72;12.29;5.46667;45.7833
108;REYRIEUX;1322;4093;260;15.7;4.81667;45.9333
109;MATAFELON-GRANGES;1240;652;30;21.54;5.56667;46.2667
110;DROM;1150;209;26;7.78;5.36667;46.2167
111;CHATILLON-EN-MICHAILLE;1091;3120;82;37.62;5.78333;46.1333
112;POLLIAT;1301;2403;119;20.07;5.13333;46.25
113;VESANCY;1436;526;49;10.7;6.08333;46.35
114;MASSIEUX;1238;2428;783;3.1;4.83333;45.9167
115;SAINT-CYR-SUR-MENTHON;1343;1636;96;16.93;4.98333;46.2667
116;SERRIERES-SUR-AIN;1404;119;14;8.18;5.45;46.15
117;NIVOLLET-MONTGRIFFON;1277;143;17;8.24;5.43333;45.9833
118;IZERNORE;1192;2278;109;20.86;5.55;46.2167
119;SAINT-NIZIER-LE-DESERT;1381;880;35;24.96;5.15;46.05
120;GUEREINS;1183;1308;290;4.51;4.78333;46.1
121;ILLIAT;1188;570;27;20.37;4.88333;46.1833
122;LA TRANCLIERE;1425;301;20;14.75;5.26667;46.1167
123;SAINT-DIDIER-DE-FORMANS;1347;1792;274;6.53;4.78333;45.95
124;MERIGNAT;1242;139;43;3.17;5.43333;46.0667
125;SAINT-ELOI;1349;399;27;14.26;5.15;45.9333
126;LA CHAPELLE-DU-CHATELARD;1085;341;25;13.37;5.03333;46.0667
127;SAINT-JEAN-DE-NIOST;1361;1421;100;14.19;5.21667;45.8333
128;SAVIGNEUX;1398;1204;81;14.75;4.85;46
129;NATTAGES;1271;564;54;10.33;5.76667;45.7333
130;SAINT-BENOIT;1338;773;35;21.65;5.58333;45.7
131;DOUVRES;1149;962;182;5.26;5.36667;45.9833
132;FRANCHELEINS;1165;1323;97;13.56;4.8;46.0667
133;DORTAN;1148;1996;110;18.11;5.66667;46.3167
134;SAINT-GERMAIN-LES-PAROISSES;1358;387;23;16.27;5.61667;45.7667
135;MIRIBEL;1249;9066;370;24.49;4.95306;45.8245
136;LANCRANS;1205;1052;108;9.66;5.83333;46.1333
137;ECHENEVEX;1153;1631;99;16.44;6.03333;46.3167
138;SAINT-JEAN-SUR-VEYLE;1365;1082;96;11.21;4.91667;46.25
139;BILLIAT;1044;484;35;13.7;5.78333;46.0667
140;L'ABERGEMENT-DE-VAREY;1002;221;24;9.15;5.41667;46
141;VILLENEUVE;1446;1383;51;26.79;4.83667;46.0212
142;VILLARS-LES-DOMBES;1443;4399;178;24.65;5.01667;46
143;THEZILLIEU;1417;324;12;26.25;5.6;45.8833
144;SAINT-ETIENNE-SUR-REYSSOUZE;1352;531;38;13.82;5;46.4
145;SOUCLIN;1411;261;19;13.19;5.41667;45.8667
146;SAINT-JUST;1369;881;260;3.38;5.28;46.1903
147;CIVRIEUX;1105;1362;68;19.76;4.88333;45.9167
148;ARGIS;1017;421;53;7.84;5.48333;45.9333
149;TALISSIEU;1415;425;88;4.8;5.71667;45.8667
150;BIRIEUX;1045;236;14;15.83;5.03333;45.95
151;SAINT-JULIEN-SUR-VEYLE;1368;715;72;9.84;4.95;46.2
152;THOIRY;1419;5205;179;28.93;5.97973;46.2364
153;LAIZ;1203;1130;109;10.31;4.88333;46.25
154;CRESSIN-ROCHEFORT;1133;374;47;7.93;5.76667;45.7667
155;SAINT-CHAMP;1341;139;27;5.14;5.73333;45.7833
156;SAINT-GEORGES-SUR-RENON;1356;197;34;5.66;5.03333;46.1
157;LANTENAY;1206;257;38;6.59;5.53333;46.05
158;VERNOUX;1433;285;27;10.2;5.11667;46.4833
