id;nom;insee;pop_2010;densite_2010;surface;long_deg;lat_deg
3589;PETIT-MESNIL;10286;241;16;14.83;4.58333;48.35
3590;DOSCHES;10129;302;14;20.64;4.25;48.3167
3591;DIERREY-SAINT-PIERRE;10125;220;10;21.61;3.83333;48.3333
3592;LENTILLES;10192;90;5;17.18;4.61667;48.4833
3593;ARGANCON;10008;100;12;8.2;4.6;48.25
3594;CHAMPIGNOL-LEZ-MONDEVILLE;10076;336;7;44.17;4.68333;48.1333
3595;ISLE-AUMONT;10173;513;147;3.48;4.13333;48.2167
3596;LONGUEVILLE-SUR-AUBE;10207;125;10;11.64;3.91667;48.55
3597;VERRIERES;10406;1750;172;10.12;4.14806;48.2328
3598;TROYES;10387;60280;4566;13.2;4.08333;48.3
3599;MONTMARTIN-LE-HAUT;10252;60;37;1.61;4.55;48.2167
3600;ESSOYES;10141;711;19;35.57;4.53333;48.0667
3601;COLOMBE-LE-SEC;10103;139;15;8.78;4.8;48.25
3602;LA CHAISE;10072;37;4;8.81;4.66667;48.3667
3603;LUSIGNY-SUR-BARSE;10209;1755;46;37.92;4.26667;48.25
3604;DOLANCOURT;10126;139;28;4.88;4.61667;48.2667
3605;VILLE-SOUS-LA-FERTE;10426;1119;56;19.77;4.78333;48.1167
3606;COURTERANGES;10110;585;90;6.47;4.23333;48.2667
3607;CELLES-SUR-OURCE;10070;487;50;9.59;4.4;48.0833
3608;VILLELOUP;10414;119;7;16.31;3.86667;48.3667
3609;CUNFIN;10119;211;6;33.12;4.66667;48.05
3610;ECLANCE;10135;112;9;11.48;4.63333;48.3
3611;MAISONS-LES-SOULAINES;10219;80;12;6.16;4.78333;48.2833
3612;CHACENAY;10071;62;7;7.8;4.53333;48.1167
3613;VALLIERES;10394;144;17;8.34;4.05;48
3614;CHAPELLE-VALLON;10082;225;11;19.24;4.03333;48.4333
3615;SAINT-THIBAULT;10363;465;39;11.71;4.13333;48.2
3616;BOULAGES;10052;239;20;11.54;3.91667;48.5833
3617;MAISON-DES-CHAMPS;10217;40;9;4.35;4.56667;48.25
3618;LE MERIOT;10231;574;45;12.6;3.45;48.5
3619;MOREMBERT;10257;47;18;2.5;4.33333;48.5
3620;NOZAY;10269;139;8;15.75;4.1;48.5167
3621;RIGNY-LA-NONNEUSE;10318;149;8;18.19;3.66667;48.4167
3622;VILLADIN;10410;129;10;12.35;3.68333;48.3167
3623;VERNONVILLIERS;10403;80;10;7.66;4.68333;48.3167
3624;JAVERNANT;10177;162;28;5.62;4;48.1667
3625;RADONVILLIERS;10313;393;16;23.29;4.51667;48.3667
3626;OSSEY-LES-TROIS-MAISONS;10275;598;36;16.25;3.75;48.4333
3627;SOLIGNY-LES-ETANGS;10370;221;13;15.94;3.5;48.4
3628;BAR-SUR-SEINE;10034;3233;117;27.53;4.36667;48.1167
3629;LESMONT;10193;340;34;9.92;4.41667;48.4333
3630;AVREUIL;10024;160;15;10.33;4;48.05
3631;TRANNES;10384;250;24;10.11;4.58333;48.3
3632;BEUREY;10045;189;10;17.33;4.46667;48.1833
3633;ORMES;10272;197;19;10.14;4.11667;48.55
3634;CHAPPES;10083;297;30;9.75;4.25;48.1667
3635;FAYS-LA-CHAPELLE;10147;148;255;0.58;4.01667;48.1333
3636;LA VILLE-AUX-BOIS;10411;19;3;5.56;4.5;48.2833
3637;BERTIGNOLLES;10041;67;10;6.19;4.51667;48.1333
3638;BAILLY-LE-FRANC;10026;28;4;6;4.65;48.5167
3639;JASSEINES;10175;170;10;16.29;4.38333;48.5
3640;SAINT-BENOIT-SUR-SEINE;10336;404;34;11.78;4.03333;48.3667
3641;ARRENTIERES;10011;214;15;13.91;4.75;48.2667
3642;BRAGELOGNE-BEAUVOIR;10058;263;11;23.39;4.26528;47.9684
3643;CHESSY-LES-PRES;10099;527;20;25.69;3.91667;48.0167
3644;CUSSANGY;10120;210;9;21.39;4.1;48.0167
3645;AVIREY-LINGEY;10022;220;12;17.85;4.3;48.0333
3646;VILLY-LE-MARECHAL;10435;167;50;3.29;4.08333;48.1833
3647;LAVAU;10191;857;149;5.74;4.08333;48.3167
3648;RONCENAY;10324;134;35;3.82;4.05112;48.1998
3649;GERAUDOT;10165;301;17;16.74;4.31667;48.3
3650;PLANCY-L'ABBAYE;10289;944;22;41.38;3.96834;48.57
3651;ISLE-AUBIGNY;10174;165;8;18.76;4.26556;48.5253
3652;SPOY;10374;135;13;10.36;4.61667;48.2333
3653;AULNAY;10017;126;12;10.44;4.4;48.4667
3654;YEVRES-LE-PETIT;10445;74;8;8.35;4.48333;48.4833
3655;RIGNY-LE-FERRON;10319;375;19;19.05;3.63333;48.2
3656;LA MOTTE-TILLY;10259;380;32;11.59;3.43333;48.4667
3657;JULLY-SUR-SARCE;10181;296;9;30.44;4.3;48.1
3658;CHAUFFOUR-LES-BAILLY;10092;124;6;19.01;4.33333;48.2
3659;SAINT-PHAL;10359;534;16;33.27;4;48.1167
3660;SAINT-REMY-SOUS-BARBUISE;10361;190;12;15.57;4.11667;48.4833
3661;MONTIERAMEY;10249;441;65;6.73;4.30584;48.2306
3662;ETRELLES-SUR-AUBE;10144;142;13;10.43;3.86667;48.5667
3663;SOUILHE;11383;336;80;4.2;1.91667;43.3667
3664;LABASTIDE-EN-VAL;11179;93;7;11.7;2.48333;43.0667
3665;SALSIGNE;11372;372;32;11.48;2.36667;43.3333
3666;CASSAIGNES;11073;68;18;3.74;2.3;42.95
3667;SOUILHANELS;11382;405;148;2.72;1.91667;43.35
3668;LES CASSES;11074;241;33;7.28;1.86667;43.4333
3669;FLOURE;11146;367;86;4.25;2.48333;43.1833
3670;VILLEBAZY;11420;113;9;12.18;2.33333;43.0667
3671;TALAIRAN;11386;375;10;36.29;2.66667;43.05
3672;TRAUSSE;11396;515;48;10.7;2.56667;43.3167
3673;COUNOZOULS;11104;45;1;27.8;2.23333;42.7333
3674;CABRESPINE;11056;180;10;17.56;2.46667;43.3667
3675;SAINT-MARTIN-LALANDE;11356;1090;86;12.65;2.01667;43.3
3676;VILLAR-SAINT-ANSELME;11415;95;16;5.88;2.31667;43.0667
3677;MONTHAUT;11247;47;6;7.01;2.03333;43.0833
3678;COURNANEL;11105;659;103;6.34;2.25;43.0333
3679;CORBIERES;11100;36;4;8.53;1.98333;43.05
3680;CLERMONT-SUR-LAUQUET;11094;25;1;18.29;2.41667;43.05
3681;EMBRES-ET-CASTELMAURE;11125;163;5;32.2;2.81667;42.9333
3682;GRANES;11168;119;22;5.38;2.25;42.9
3683;MERIAL;11230;26;1;17.19;1.98333;42.7833
3684;SAINT-PAULET;11362;177;23;7.42;1.88333;43.4167
3685;VILLENEUVE-LES-MONTREAL;11432;258;117;2.2;2.1;43.1833
3686;VERDUN-EN-LAURAGAIS;11407;259;12;20.21;2.06667;43.3667
3687;LASSERRE-DE-PROUILLE;11193;240;57;4.16;2.06667;43.1833
3688;FOURTOU;11155;62;3;20.46;2.43333;42.9167
3689;CARLIPA;11070;315;59;5.26;2.11667;43.3
3690;VILLETRITOULS;11440;39;7;4.88;2.48333;43.0667
3691;BELPECH;11033;1320;31;42.46;1.75;43.2
3692;BIZANET;11040;1331;35;37.09;2.88333;43.1667
3693;ESCALES;11126;374;36;10.18;2.7;43.2167
3694;LASBORDES;11192;825;55;14.74;2.03333;43.3
3695;FANJEAUX;11136;779;30;25.49;2.05;43.2
3696;SAINT-LAURENT-DE-LA-CABRERISSE;11351;764;30;25.03;2.70056;43.0853
3697;CAVANAC;11085;921;102;8.96;2.33333;43.1667
3698;SAINTE-VALIERE;11366;546;85;6.39;2.85;43.2833
3699;RENNES-LE-CHATEAU;11309;72;4;14.68;2.26667;42.9333
3700;LA DIGNE-D'AMONT;11119;284;78;3.61;2.15;43.0333
3701;AUNAT;11019;39;3;10.62;2.1;42.8
3702;MAS-CABARDES;11222;200;22;9.09;2.36667;43.3667
3703;ALET-LES-BAINS;11008;431;18;23.54;2.26667;43
3704;CARCASSONNE;11069;47419;728;65.08;2.35;43.2167
3705;TUCHAN;11401;832;13;59.52;2.71667;42.8833
3706;SAINT-MARCEL-SUR-AUDE;11353;1654;197;8.37;2.9225;43.2439
3707;QUILLAN;11304;3301;157;20.97;2.18333;42.8667
3708;CUXAC-D'AUDE;11116;4253;197;21.54;3;43.25
3709;TAURIZE;11387;78;9;8.34;2.5;43.0667
3710;ROUTIER;11328;252;22;11.27;2.12667;43.1078
3711;VILLARDONNEL;11413;535;32;16.63;2.31667;43.3333
3712;ARQUETTES-EN-VAL;11016;97;10;9.31;2.50222;43.1037
3713;POUZOLS-MINERVOIS;11296;455;44;10.15;2.83333;43.2833
3714;GRUISSAN;11170;4676;107;43.65;3.08333;43.1
3715;PEPIEUX;11280;1001;101;9.85;2.7;43.3
3716;CAILHAVEL;11059;100;18;5.34;2.11667;43.1667
3717;VINASSAN;11441;2499;278;8.96;3.06667;43.2
3718;DAVEJEAN;11117;113;8;13.36;2.61667;42.9667
3719;MAISONS;11213;41;3;12.15;2.63333;42.9333
3720;MOUTHOUMET;11260;116;8;13.73;2.53333;42.9667
3721;SAINT-JULIA-DE-BEC;11347;101;7;13.88;2.25;42.8667
3722;SOUPEX;11385;265;35;7.37;1.9;43.3833
3723;VERZEILLE;11408;438;84;5.21;2.33333;43.1167
3724;LADERN-SUR-LAUQUET;11183;259;10;24.64;2.35;43.1167
3725;RAISSAC-SUR-LAMPY;11308;390;74;5.23;2.16667;43.2833
3726;VILLASAVARY;11418;1200;36;33.08;2.03333;43.2167
3727;ARZENS;11018;1148;54;21.11;2.21667;43.2
3728;LES BRUNELS;11054;224;18;11.97;2.05;43.4
3729;RICAUD;11313;294;49;5.92;1.9;43.35
3730;MAS-SAINTES-PUELLES;11225;900;32;27.63;1.88333;43.3167
3731;SALLELES-D'AUDE;11369;2580;205;12.55;2.95;43.2667
3732;MOLLEVILLE;11238;91;25;3.59;1.83333;43.3167
3733;TOUROUZELLE;11393;477;33;14.19;2.73333;43.25
3734;FAJAC-EN-VAL;11133;34;2;13.81;2.45;43.1167
3735;GENERVILLE;11162;57;5;10.21;1.93333;43.2167
3736;SAINT-MARTIN-LYS;11358;40;4;9.99;2.23333;42.8333
3737;PEZENS;11288;1334;120;11.11;2.28333;43.25
3738;VILLAUTOU;11419;57;9;5.97;1.83333;43.15
3739;PLAVILLA;11291;120;9;12.4;1.93333;43.15
3740;FONTERS-DU-RAZES;11149;90;7;12.15;1.93333;43.2333
3741;MONTJARDIN;11249;98;6;14.11;2.03333;42.9667
3742;MAZUBY;11229;24;2;8.96;2.03333;42.8
3743;PALAIRAC;11271;33;1;17.93;2.66667;42.95
3744;BRUGAIROLLES;11053;253;29;8.47;2.15;43.1167
3745;VIGNEVIEILLE;11409;102;6;16.72;2.53333;43
3746;LOUPIA;11207;230;51;4.46;2.1;43.0667
3747;DERNACUEILLETTE;11118;43;5;7.75;2.6;42.9333
3748;PEYRIAC-MINERVOIS;11286;1087;106;10.19;2.56667;43.3
3749;BRENAC;11050;203;14;13.66;2.15;42.8833
3750;BELVIS;11036;182;7;23.61;2.08333;42.85
3751;CAILLA;11060;53;6;7.64;2.2;42.8167
3752;TREILLES;11398;182;14;12.42;2.95;42.9167
3753;NIORT-DE-SAULT;11265;29;1;22.11;2;42.8
3754;THEZAN-DES-CORBIERES;11390;535;20;26.38;2.77111;43.1037
3755;MONTFORT-SUR-BOULZANE;11244;91;2;33.32;2.3;42.75
3756;MONTBRUN-DES-CORBIERES;11241;318;29;10.61;2.68333;43.2
3757;RIVEL;11316;223;9;24.3;1.98333;42.95
3758;SAINT-FERRIOL;11341;144;14;9.85;2.21667;42.9
3759;AIROUX;11002;128;23;5.49;1.86667;43.3667
3760;SAINTE-COLOMBE-SUR-GUETTE;11335;49;2;21.04;2.23333;42.75
3761;CASTELNAUDARY;11076;11753;246;47.72;1.95;43.3167
3762;TRASSANEL;11395;32;7;4.34;2.43333;43.35
3763;MONTAURIOL;11239;77;9;8.47;1.83556;43.2778
3764;RAISSAC-D'AUDE;11307;243;40;5.93;2.88333;43.2333
3765;TREVILLE;11399;110;20;5.33;1.95;43.3833
3766;SOULATGE;11384;113;4;24.16;2.5;42.8833
3767;SAINTE-CAMELLE;11334;114;11;9.52;1.8;43.2667
3768;LUC-SUR-ORBIEU;11210;1023;103;9.88;2.78333;43.1833
3769;VILLALIER;11410;934;121;7.7;2.41667;43.25
3770;CUMIES;11114;36;9;3.92;1.85;43.3
3771;LAFAGE;11184;103;8;12.71;1.86667;43.175
3772;VILLANIERE;11411;144;20;7.04;2.38333;43.35
3773;LABASTIDE-D'ANJOU;11178;994;115;8.57;1.86667;43.3333
3774;MIREPEISSET;11233;748;144;5.19;2.9;43.2833
3775;CAUNETTES-EN-VAL;11083;50;5;8.71;2.55;43.0667
3776;JOUCOU;11177;38;5;6.44;2.08333;42.8333
3777;TOURNISSAN;11392;271;23;11.53;2.66667;43.0833
3778;CASTELNAU-D'AUDE;11077;461;62;7.38;2.68333;43.2333
3779;GUEYTES-ET-LABASTIDE;11171;41;8;4.81;2;43.0667
3780;MOLANDIER;11236;232;11;19.84;1.73333;43.25
3781;SAINTE-COLOMBE-SUR-L'HERS;11336;502;47;10.61;1.96667;42.95
3782;VILLENEUVE-MINERVOIS;11433;1032;43;23.85;2.46667;43.3167
3783;VILLENEUVE-LES-CORBIERES;11431;267;10;24.31;2.76667;42.9667
3784;GINOLES;11165;356;57;6.17;2.15;42.8667
3785;PUIVERT;11303;521;12;41.29;2.05;42.9333
3786;MONZE;11257;195;13;13.96;2.46667;43.15
3787;LA FAJOLLE;11135;15;0;15.79;1.96667;42.7667
3788;FAJAC-LA-RELENQUE;11134;47;13;3.51;1.71667;43.2833
3789;LA COURTETE;11108;45;8;5.47;2.03333;43.15
3790;CAUX-ET-SAUZENS;11084;782;86;9;2.25;43.2333
3791;LIMOUX;11206;10130;312;32.41;2.23333;43.0667
3792;VILLARDEBELLE;11412;68;5;13.14;2.4;43.0167
3793;ROQUEFORT-DES-CORBIERES;11322;971;21;45.44;2.95;43
3794;MAYREVILLE;11226;75;9;8.17;1.85;43.2333
3795;FEUILLA;11143;98;4;24.12;2.91667;42.9333
3796;COMIGNE;11095;274;29;9.24;2.58333;43.1667
3797;SAINT-MARTIN-DE-VILLEREGLAN;11355;336;35;9.38;2.21667;43.1
3798;MAGRIE;11211;511;51;9.95;2.2;43.0333
3799;TERROLES;11389;14;2;6.63;2.33834;42.985
3800;PAULIGNE;11274;335;55;6.06;2.15;43.0667
3801;MALRAS;11214;355;84;4.22;2.16667;43.0667
3802;TERMES;11388;48;2;18.63;2.56667;43
3803;SALZA;11374;19;2;8.34;2.5;42.9833
3804;GINCLA;11163;48;6;7.65;2.33333;42.7667
3805;BELVIANES-ET-CAVIRAC;11035;288;24;11.68;2.2;42.85
3806;ROQUETAILLADE;11323;212;18;11.35;2.2;43
3807;MASSAC;11224;30;2;11.89;2.58333;42.9167
3808;ESPEZEL;11130;214;14;14.31;2.01667;42.8167
3809;GALINAGUES;11160;39;9;4.14;2.05;42.8167
3810;VILLEROUGE-TERMENES;11435;155;7;19.41;2.63333;43
3811;PREIXAN;11299;535;62;8.56;2.3;43.15
3812;ARGENS-MINERVOIS;11013;376;81;4.59;2.76556;43.2423
3813;FOURNES-CABARDES;11154;63;5;12.45;2.4;43.35
3814;GOURVIEILLE;11166;56;18;3.09;1.78333;43.3333
3815;SAINT-PAPOUL;11361;769;29;26.48;2.03333;43.3333
3816;HOUNOUX;11173;134;17;7.62;2;43.1167
3817;BELVEZE-DU-RAZES;11034;872;192;4.52;2.1;43.1333
3818;SAINT-FRICHOUX;11342;226;35;6.33;2.55;43.25
3819;ESCUEILLENS-ET-SAINT-JUST-DE-BELENGARD;11128;190;16;11.2;2;43.1
3820;ANTUGNAC;11010;318;33;9.49;2.23333;42.95
3821;VILLESISCLE;11438;352;64;5.46;2.11667;43.2333
3822;SERRES;11377;48;11;4.06;2.31667;42.95
3823;LIGNAIROLLES;11204;36;4;7.31;1.98333;43.1
3824;VENTENAC-EN-MINERVOIS;11405;534;86;6.2;2.85945;43.2487
3825;RENNES-LES-BAINS;11310;196;10;18.77;2.31667;42.9167
3826;VILLEGLY;11426;1051;106;9.83;2.45;43.2833
3827;AZILLE;11022;1188;50;23.33;2.66667;43.2833
3828;MONTGAILLARD;11245;56;3;16.72;2.63333;42.9167
3829;CAVES;11086;692;75;9.13;2.98333;42.9333
3830;SAINT-COUAT-D'AUDE;11337;394;73;5.38;2.63333;43.2
3831;COUSTAUSSA;11109;56;12;4.47;2.28333;42.95
3832;ROULLENS;11327;495;62;7.89;2.28333;43.1667
3833;ORSANS;11268;92;9;9.94;1.96667;43.15
3834;BARBAIRA;11027;733;77;9.4;2.51667;43.1833
3835;TREZIERS;11400;105;16;6.41;1.95;43.05
3836;MEZERVILLE;11231;82;11;7.3;1.8;43.2667
3837;COURTAULY;11107;74;9;7.72;2.03333;43.0333
3838;PRADELLES-EN-VAL;11298;200;12;16.19;2.51667;43.15
3839;GARDIE;11161;106;22;4.65;2.31667;43.0667
3840;LA LOUVIERE-LAURAGAIS;11208;79;12;6.25;1.75;43.2667
3841;SAINT-JUST-ET-LE-BEZU;11350;65;4;13.54;2.26667;42.8833
3842;MIREVAL-LAURAGAIS;11234;164;15;10.32;1.96667;43.25
3843;CUXAC-CABARDES;11115;905;36;25.06;2.3;43.3667
3844;LA POMAREDE;11292;162;12;13.08;1.95;43.4
3845;ALAIRAC;11005;1279;78;16.37;2.25;43.1833
3846;CAZILHAC;11088;1658;432;3.83;2.36361;43.1831
3847;PUICHERIC;11301;1082;81;13.21;2.63333;43.2333
3848;MARQUEIN;11218;76;13;5.49;1.71667;43.3
3849;NARBONNE;11262;51039;295;172.96;3;43.1833
3850;ROUVENAC;11329;208;17;12.23;2.15;42.9333
3851;SAINT-AMANS;11331;62;7;8.16;1.88639;43.2273
3852;PEYREFITTE-DU-RAZES;11282;51;7;6.72;2.01667;43.0667
3853;CENNE-MONESTIES;11089;362;46;7.76;2.11667;43.3333
3854;LACOMBE;11182;170;11;14.99;2.23333;43.4
3855;ORNAISONS;11267;1233;114;10.8;2.83333;43.1833
3856;LABASTIDE-ESPARBAIRENQUE;11180;85;5;16.77;2.41667;43.3833
3857;MONTREAL;11254;1921;34;55.03;2.15;43.2
3858;LAURE-MINERVOIS;11198;1051;26;39.23;2.51667;43.2667
3859;CONILHAC-CORBIERES;11098;887;72;12.18;2.71667;43.1833
3860;COUDONS;11101;48;5;9.5;2.11667;42.8667
3861;GAJA-ET-VILLEDIEU;11158;293;37;7.75;2.2;43.0833
3862;SIGEAN;11379;5377;152;35.35;2.98333;43.0333
3863;COUIZA;11103;1147;169;6.77;2.25;42.95
3864;ALBAS;11006;74;3;22.69;2.73333;43
3865;BELCASTEL-ET-BUC;11029;71;5;14.15;2.36667;43.0333
3866;MONTFERRAND;11243;496;27;17.93;1.81667;43.3667
3867;RIEUX-MINERVOIS;11315;2011;94;21.19;2.58333;43.2833
3868;MONTIRAT;11248;71;5;12.67;2.45;43.1667
3869;VILLAR-EN-VAL;11414;35;3;11.42;2.46667;43.0833
3870;HOMPS;11172;694;226;3.06;2.71667;43.2667
3871;SAINT-JULIEN-DE-BRIOLA;11348;79;6;11.31;1.93333;43.15
3872;PENNAUTIER;11279;2465;138;17.78;2.33333;43.25
3873;MALVES-EN-MINERVOIS;11215;784;160;4.88;2.44056;43.2523
3874;COUFFOULENS;11102;606;63;9.47;2.3;43.1667
3875;NEVIAN;11264;1327;93;14.25;2.9;43.2167
3876;ROUFFIAC-DES-CORBIERES;11326;75;4;16.04;2.55;42.8833
3877;RIBOUISSE;11312;105;10;10.21;1.91667;43.1833
3878;SALLES-SUR-L'HERS;11371;614;31;19.31;1.78333;43.3
3879;CAUDEVAL;11080;179;24;7.19;1.95;43.0667
3880;LESPINASSIERE;11200;116;7;16.24;2.55;43.4
3881;PLAIGNE;11290;114;8;13.19;1.81667;43.1667
3882;SAINT-SERNIN;11365;40;6;6.53;1.8;43.2333
3883;MALVIES;11216;379;52;7.22;2.18333;43.1167
3884;MONTMAUR;11252;324;25;12.61;1.85;43.4
3885;VILLEFLOURE;11423;147;8;16.69;2.38333;43.1167
3886;SAINT-PIERRE-DES-CHAMPS;11363;172;10;15.89;2.6;43.05
3887;BAGES;11024;840;67;12.53;2.99111;43.1234
3888;PIEUSSE;11289;983;76;12.92;2.23333;43.0833
3889;BOUTENAC;11048;705;30;22.96;2.8;43.1333
3890;MIRAVAL-CABARDES;11232;43;3;12.16;2.36667;43.3833
3891;BROUSSES-ET-VILLARET;11052;314;28;11.16;2.26667;43.35
3892;CONILHAC-DE-LA-MONTAGNE;11097;61;13;4.45;2.19167;42.9833
3893;PAYRA-SUR-L'HERS;11275;168;6;24.52;1.86667;43.2667
3894;BELLEGARDE-DU-RAZES;11032;219;34;6.41;2.01667;43.1
3895;SALLES-D'AUDE;11370;2833;156;18.15;3.11667;43.2333
3896;ARGELIERS;11012;1808;167;10.79;2.91667;43.3167
3897;SAINT-DENIS;11339;494;60;8.21;2.21667;43.3667
3898;BOURIGEOLE;11046;46;5;9.08;2.13333;42.9833
3899;RUSTIQUES;11330;473;73;6.47;2.48333;43.2167
3900;LAVALETTE;11199;1294;197;6.55;2.28333;43.1833
3901;POMY;11294;54;9;6;2.05;43.05
3902;VILLEFORT;11424;101;7;12.67;2.03306;42.9547
3903;LIMOUSIS;11205;107;10;9.92;2.41667;43.3333
3904;MOUSSOULENS;11259;942;48;19.6;2.23333;43.2833
3905;BOURIEGE;11045;132;12;10.65;2.16667;42.9833
3906;BELFLOU;11030;106;11;8.93;1.78333;43.3167
3907;LAURABUC;11195;406;50;8.04;1.98333;43.25
3908;SAINT-JEAN-DE-BARROU;11345;281;36;7.61;2.83333;42.95
3909;CAMPAGNA-DE-SAULT;11062;14;1;10.4;2.05;42.7667
3910;FLEURY;11145;3405;66;51.27;3.135;43.2284
3911;ROQUEFORT-DE-SAULT;11321;79;3;21.84;2.2;42.75
3912;PECHARIC-ET-LE-PY;11277;30;5;5.77;1.83333;43.1833
3913;DUILHAC-SOUS-PEYREPERTUSE;11123;135;6;21.09;2.56639;42.8634
3914;SEIGNALENS;11375;33;5;6.17;1.95;43.1
3915;BELFORT-SUR-REBENTY;11031;40;7;5.24;2.05;42.8333
3916;MONTCLAR;11242;194;17;11.31;2.25;43.1333
3917;CAMPS-SUR-L'AGLY;11065;78;2;26.35;2.43333;42.8667
3918;PEYRENS;11284;416;87;4.77;1.98333;43.3667
3919;MONTGRADAIL;11246;59;13;4.48;2.03333;43.1167
3920;LA CASSAIGNE;11072;196;16;12.13;2;43.2
3921;PUILAURENS;11302;260;7;33.38;2.3;42.8167
3922;CAMPAGNE-SUR-AUDE;11063;661;110;5.97;2.2;42.9167
3923;VILLESEQUE-DES-CORBIERES;11436;396;12;31.69;2.85;43.0167
3924;SAINT-BENOIT;11333;113;5;21.31;2.06667;43.0167
3925;COMUS;11096;31;2;14.07;1.88333;42.8167
3926;FITOU;11144;965;31;30.25;2.98333;42.9
3927;LE CLAT;11093;35;3;10.25;2.16667;42.7833
3928;CITOU;11092;82;4;17.34;2.55;43.3833
3929;MARSA;11219;26;1;19.17;2.15;42.8167
3930;ARTIGUES;11017;83;13;6.29;2.21667;42.8
3931;AURIAC;11020;32;1;20.93;2.5;42.9333
3932;FRAISSE-CABARDES;11156;110;15;7.13;2.275;43.325
3933;CAHUZAC;11057;32;10;3.04;1.85;43.1833
3934;MAILHAC;11212;473;45;10.51;2.83333;43.3
3935;CAPENDU;11068;1583;104;15.12;2.56667;43.1833
3936;VILLEDAIGNE;11421;452;181;2.49;2.86667;43.2167
3937;PEXIORA;11281;1200;91;13.16;2.03333;43.2667
3938;GINESTAS;11164;1358;142;9.5;2.88333;43.2667
3939;AJAC;11003;198;37;5.29;2.15;43.05
3940;CUCUGNAN;11113;137;8;15.33;2.6;42.85
3941;CRUSCADES;11111;538;55;9.65;2.81667;43.1833
3942;LA REDORTE;11190;1121;83;13.49;2.65306;43.2523
3943;SAINT-POLYCARPE;11364;159;11;13.81;2.3;43.0333
3944;MARCORIGNAN;11217;1163;206;5.64;2.91667;43.2333
3945;LA DIGNE-D'AVAL;11120;537;171;3.14;2.18333;43.05
3946;BAGNOLES;11025;243;43;5.63;2.43667;43.2712
3947;BOUISSE;11044;93;3;25.44;2.45;42.9833
3948;BRAM;11049;3315;187;17.72;2.11667;43.25
3949;PORT-LA-NOUVELLE;11266;5713;200;28.55;3.05;43.0167
3950;MONTAZELS;11240;530;120;4.39;2.25;42.95
3951;SAINT-JEAN-DE-PARACOL;11346;114;16;7.08;2.11667;42.9333
3952;FONTCOUVERTE;11148;534;53;9.97;2.7;43.1667
3953;MONTOLIEU;11253;766;32;23.65;2.21667;43.3
3954;MONTREDON-DES-CORBIERES;11255;1286;74;17.15;2.92584;43.1914
3955;VENTENAC-CABARDES;11404;848;81;10.36;2.28333;43.2667
3956;VILLENEUVE-LA-COMPTAL;11430;1226;81;15.1;1.93333;43.2833
3957;CAUNES-MINERVOIS;11081;1629;58;27.84;2.53333;43.3167
3958;VILLARZEL-CABARDES;11416;191;29;6.38;2.46667;43.2833
3959;AIGUES-VIVES;11001;519;50;10.21;2.53334;43.2309
3960;PECH-LUNA;11278;98;14;6.57;1.83333;43.2167
3961;CASTANS;11075;118;6;17.01;2.48333;43.4
3962;FELINES-TERMENES;11137;135;13;10.01;2.61667;42.9833
3963;LAURAC;11196;180;15;11.58;1.98333;43.2333
3964;LA BEZOLE;11039;44;6;6.51;2.1;43.0333
3965;ALZONNE;11009;1319;58;22.38;2.18333;43.2667
3966;LA SERPENT;11376;76;7;9.59;2.18333;42.9667
3967;SAINTE-EULALIE;11340;522;80;6.5;2.21667;43.25
3968;CASTELRENG;11078;202;18;11.02;2.13333;43.0333
3969;MOUSSAN;11258;1806;121;14.88;2.95;43.2333
3970;ROUFFIAC-D'AUDE;11325;390;74;5.24;2.3;43.1167
3971;FENDEILLE;11138;565;78;7.17;1.95;43.2667
3972;SAISSAC;11367;929;16;57.03;2.16667;43.3667
3973;SERVIES-EN-VAL;11378;219;33;6.5;2.51667;43.0833
3974;FESTES-ET-SAINT-ANDRE;11142;202;11;18.07;2.15;42.9667
3975;LAGRASSE;11185;583;18;32.2;2.61667;43.1
3976;BLOMAC;11042;204;24;8.41;2.6;43.2
3977;ALAIGNE;11004;340;24;13.86;2.1;43.1167
3978;VILLESPY;11439;346;54;6.38;2.08333;43.3167
3979;SAINT-HILAIRE;11344;751;32;23.02;2.31667;43.1
3980;QUIRBAJOU;11306;37;2;13.95;2.18333;42.8333
3981;VILLEMOUSTAUSSOU;11429;3479;291;11.94;2.36667;43.25
3982;DONAZAC;11121;93;18;5.06;2.11667;43.0833
3983;POMAS;11293;777;76;10.15;2.3;43.1167
3984;ISSEL;11175;465;26;17.66;1.98333;43.3667
3985;RIEUX-EN-VAL;11314;87;12;6.9;2.53333;43.0833
3986;FONTJONCOUSE;11152;141;5;27.35;2.78333;43.05
3987;JONQUIERES;11176;61;4;13.66;2.72945;43.04
3988;PARAZA;11273;610;64;9.47;2.83333;43.25
3989;BOUILHONNAC;11043;226;39;5.71;2.43333;43.2333
3990;FA;11131;366;31;11.48;2.18333;42.9333
3991;BERRIAC;11037;885;331;2.67;2.41667;43.2167
3992;LEUCATE;11202;4043;171;23.55;3.03333;42.9167
3993;ROUBIA;11324;477;64;7.38;2.8;43.25
3994;VALMIGERE;11402;20;3;5.94;2.36667;42.9833
3995;AXAT;11021;640;54;11.77;2.23333;42.8
3996;FONTIES-D'AUDE;11151;403;66;6.07;2.45;43.1833
3997;MISSEGRE;11235;66;9;7.28;2.36667;43
3998;PRADELLES-CABARDES;11297;151;7;20.61;2.45;43.4
